article_index,model,prompt,rouge1,rouge2,rougeL,bleu,bertscore_f1,ref_len,pred_len
0,t5-small,zero,0.19565217391304346,0.06666666666666665,0.13043478260869562,0.0,0.48037073016166687,49,47
0,t5-small,few,0.26168224299065423,0.15238095238095242,0.1869158878504673,0.042497148980543915,0.5317862629890442,49,62
1,t5-small,zero,0.25352112676056343,0.057971014492753624,0.16901408450704225,0.0,0.5689115524291992,34,38
1,t5-small,few,0.19753086419753088,0.05063291139240506,0.14814814814814814,0.0,0.5472509860992432,34,47
2,t5-small,zero,0.36363636363636365,0.13333333333333333,0.2077922077922078,0.0,0.5786135196685791,38,40
2,t5-small,few,0.18666666666666668,0.0547945205479452,0.10666666666666667,0.0,0.464834064245224,38,39
3,t5-small,zero,0.3578947368421052,0.12903225806451613,0.25263157894736843,0.14168294170615436,0.5866047739982605,51,42
3,t5-small,few,0.2,0.08163265306122448,0.16,0.11298779092750291,0.5276919007301331,51,45
4,t5-small,zero,0.18461538461538463,0.06349206349206349,0.12307692307692308,0.0,0.5266969799995422,29,40
4,t5-small,few,0.23684210526315788,0.05405405405405406,0.13157894736842107,0.0,0.49098148941993713,29,50
5,t5-small,zero,0.24390243902439024,0.025,0.14634146341463414,0.0,0.541776716709137,41,45
5,t5-small,few,0.29629629629629634,0.12658227848101267,0.1728395061728395,0.06834046297438433,0.5374354124069214,41,43
6,t5-small,zero,0.1509433962264151,0.0,0.07547169811320754,0.0,0.46853721141815186,21,35
6,t5-small,few,0.14705882352941177,0.0,0.14705882352941177,0.0,0.5293871164321899,21,50
7,t5-small,zero,0.4761904761904763,0.21951219512195125,0.21428571428571427,0.0709717421157932,0.6615920066833496,49,39
7,t5-small,few,0.38636363636363635,0.11627906976744186,0.18181818181818182,0.061203825000224636,0.6190299987792969,49,43
8,t5-small,zero,0.3058823529411765,0.09638554216867469,0.23529411764705882,0.0,0.5651018619537354,41,50
8,t5-small,few,0.20224719101123595,0.04597701149425287,0.1797752808988764,0.0,0.5300042629241943,41,53
9,t5-small,zero,0.5,0.40816326530612246,0.46,0.20082667072876115,0.7185713052749634,65,38
9,t5-small,few,0.5454545454545455,0.40740740740740744,0.43636363636363634,0.25064033274929487,0.7288742661476135,65,49
0,t5-base,zero,0.367816091954023,0.16470588235294117,0.32183908045977017,0.06411024862082704,0.5951789021492004,49,43
0,t5-base,few,0.2692307692307692,0.0784313725490196,0.19230769230769232,0.0,0.5318630933761597,49,57
1,t5-base,zero,0.39534883720930236,0.16666666666666669,0.20930232558139533,0.0,0.652970016002655,34,54
1,t5-base,few,0.4691358024691358,0.20253164556962025,0.37037037037037035,0.0,0.7022050619125366,34,48
2,t5-base,zero,0.34567901234567905,0.12658227848101267,0.2222222222222222,0.0,0.5849421620368958,38,44
2,t5-base,few,0.2727272727272727,0.0697674418604651,0.11363636363636363,0.0,0.4948846101760864,38,51
3,t5-base,zero,0.30107526881720426,0.13186813186813184,0.25806451612903225,0.13619842374923838,0.6085262298583984,51,41
3,t5-base,few,0.21505376344086022,0.08791208791208792,0.17204301075268816,0.10395746237684907,0.5508682131767273,51,38
